condition_idx,sample_idx,MW,LogP,QED,TPSA,HBD,HBA,RB,SA,C,N,O,S,F,Cl,Br,I,ring_count,scaffold_class,fg_ester,fg_amide,fg_amine,fg_alcohol,fg_halogen
0,0,80.0,1.2795999999999998,0.44603148755014616,13.14,0.0,1.0,0.0,1.68,45.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0,0.0
0,1,80.0,1.2795999999999998,0.44603148755014616,13.14,0.0,1.0,0.0,1.68,45.0,8.0,12.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0
0,2,80.0,1.2795999999999998,0.44603148755014616,13.14,0.0,1.0,0.0,1.68,45.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0
0,3,80.0,1.2795999999999998,0.44603148755014616,13.14,0.0,1.0,0.0,1.68,45.0,8.0,12.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0
1,0,80.0,0.7771999999999999,0.4498276567484776,20.23,1.0,1.0,0.0,1.43,45.0,0.0,12.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0,0.0
1,1,80.0,0.7771999999999999,0.4498276567484776,20.23,1.0,1.0,0.0,1.43,45.0,8.0,12.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0
1,2,80.0,0.7771999999999999,0.4498276567484776,20.23,1.0,1.0,0.0,1.43,45.0,8.0,12.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0
1,3,80.0,0.7771999999999999,0.4498276567484776,20.23,1.0,1.0,0.0,1.43,45.0,8.0,12.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0
2,0,151.20900000000003,1.1964000000000001,0.7040409817749098,35.25,1.0,2.0,3.0,1.9399999999999997,45.0,0.0,12.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0,0.0
2,1,151.20900000000003,1.1964000000000001,0.7040409817749098,35.25,1.0,2.0,3.0,1.9399999999999997,45.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0,0.0
2,2,151.20900000000003,1.1964000000000001,0.7040409817749098,35.25,1.0,2.0,3.0,1.9399999999999997,45.0,8.0,12.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0
2,3,151.20900000000003,1.1964000000000001,0.7040409817749098,35.25,1.0,2.0,3.0,1.9399999999999997,45.0,0.0,12.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0
3,0,103.121,0.49170000000000014,0.5526104216706519,52.32,1.0,2.0,2.0,1.65,45.0,0.0,12.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0,0.0
3,1,103.121,0.49170000000000014,0.5526104216706519,52.32,1.0,2.0,2.0,1.65,45.0,0.0,12.0,3.0,4.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0,0.0
3,2,103.121,0.49170000000000014,0.5526104216706519,52.32,1.0,2.0,2.0,1.65,45.0,8.0,12.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0
3,3,103.121,0.49170000000000014,0.5526104216706519,52.32,1.0,2.0,2.0,1.65,45.0,8.0,12.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0
4,0,80.0,0.6527000000000001,0.4315009980580737,9.23,0.0,1.0,1.0,1.4,45.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0,0.0
4,1,80.0,0.6527000000000001,0.4315009980580737,9.23,0.0,1.0,1.0,1.4,45.0,8.0,12.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0
4,2,80.0,0.6527000000000001,0.4315009980580737,9.23,0.0,1.0,1.0,1.4,45.0,8.0,12.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0
4,3,80.0,0.6527000000000001,0.4315009980580737,9.23,0.0,1.0,1.0,1.4,45.0,8.0,12.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0
5,0,87.122,0.12770000000000004,0.4849325494199894,43.09,1.0,1.0,1.0,1.5399999999999998,45.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
5,1,87.122,0.12770000000000004,0.4849325494199894,43.09,1.0,1.0,1.0,1.5399999999999998,45.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
5,2,87.122,0.12770000000000004,0.4849325494199894,43.09,1.0,1.0,1.0,1.5399999999999998,45.0,8.0,12.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0
5,3,87.122,0.12770000000000004,0.4849325494199894,43.09,1.0,1.0,1.0,1.5399999999999998,45.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0,0.0
