row_id,smiles,MW,LogP,QED,TPSA,HBD,HBA,RB,SA,C,N,O,S,F,Cl,Br,I,ring_count,scaffold_class,fg_ester,fg_amide,fg_amine,fg_alcohol,fg_halogen,img_mean,img_std,img_contrast,img_edge_density,img_texture,hist_0,hist_1,hist_2,hist_3,patch_mean_min,patch_mean_max,patch_mean_std
318,C[C@H](C[C@@H]1CC[C@H]([C@@H](C)C(=O)N2CCN(CC3CCCO3)CC2)O1)n1cc(C#CCOc2cccc(-c3ccccc3)c2)nn1,611.7870000000004,4.833600000000004,0.3038816373330827,81.95,0.0,8.0,10.0,4.77,36.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,5.0,2.0,0.0,0.616362452507019,0.217555433511734,0.7647058963775635,0.1999782986111111,0.1407841145992279,0.1506076388888889,0.0,0.8466796875,0.002712673611111111,0.4190291464328766,0.7075844407081604,0.09987334161996841
241,CC1(NC(=O)N[C@H]2CCCCCCCCCC[C@@H](C(=O)C(N)=O)NC(=O)[C@@H]3[C@H]4[C@@H](CN3C2=O)C4(C)C)CCCCC1,573.7789999999999,3.313800000000003,0.38059457827576276,150.7,4.0,5.0,4.0,4.2299999999999995,31.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,5.0,0.0,0.0,0.6809546947479248,0.22363850474357605,0.8274509906768799,0.1997612847222222,0.14345671236515045,0.1286892361111111,0.0,0.13953993055555555,0.7317708333333334,0.423229843378067,0.767231822013855,0.1144825667142868
96,O=C(O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CS)C1CCc2cc(O)ccc21,424.5220000000002,3.261400000000002,0.3757825107812361,102.42,5.0,4.0,7.0,3.6599999999999997,23.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,0.6988438367843628,0.20831181108951569,0.8392156958580017,0.1996527777777778,0.13912585377693176,0.1064453125,0.0,0.09483506944444445,0.7987196180555556,0.49527508020401,0.7715481519699097,0.10291153937578201
88,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1c(-c2cc(OC)ccc2OC)nc2sccn12,483.5460000000002,3.6608000000000027,0.5304700091176048,100.39,1.0,10.0,6.0,4.02,24.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,3.0,5.0,0.0,0.6754212975502014,0.21455004811286926,0.8117647171020508,0.19954427083333334,0.14144288003444672,0.12141927083333333,0.0,0.3537326388888889,0.5248480902777778,0.45780912041664124,0.7560117244720459,0.10479886829853058
258,O=C(CO)N(CCO)CCO,163.17299999999997,-2.2080999999999986,0.42908483949592874,81.0,3.0,4.0,5.0,1.9299999999999997,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.9346029758453369,0.1447688341140747,1.0,0.19715711805555555,0.09625803679227829,0.027560763888888888,0.0,0.0,0.9724392361111112,0.8436070084571838,0.9603553414344788,0.04290749132633209
202,O=C(NCc1ccc(S(=O)(=O)O)cc1)C(CS)Cc1ccccc1,365.47600000000006,2.3382000000000005,0.5194341832421677,83.47,3.0,4.0,7.0,2.98,17.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.7579439878463745,0.17862571775913239,0.8666666746139526,0.197265625,0.12234452366828918,0.06825086805555555,0.0,0.0003255208333333333,0.9314236111111112,0.5644062757492065,0.8077273964881897,0.07998858392238617
321,CSCCNC(=O)NS(=O)(=O)c1cccc(Cl)c1,308.812,1.6908999999999998,0.8117682290931926,75.27000000000001,2.0,4.0,5.0,2.63,10.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.7944483160972595,0.1647537797689438,0.8588235378265381,0.1994357638888889,0.11357346922159195,0.052300347222222224,0.0,0.0,0.9476996527777778,0.6218068599700928,0.8338507413864136,0.06779618561267853
19,C/C=C(\C)C(=O)O[C@@H]1[C@@H]2[C@H]([C@H](OC(=O)C(C)CC)[C@H](OC(C)=O)/C(C)=C/[C@@]34O[C@@]3(C[C@H](C)[C@@H]4OC(C)=O)C(=O)[C@@H]1C)C2(C)C,616.7480000000002,4.670600000000005,0.13054979831201025,134.8,0.0,10.0,7.0,4.319999999999999,34.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,3.0,0.0,0.6300402879714966,0.21358966827392578,0.7803921699523926,0.19986979166666666,0.13858017325401306,0.13899739583333334,0.0,0.8518880208333334,0.009114583333333334,0.40609344840049744,0.7173611521720886,0.0942273736000061
191,COc1cc2c(cc1Nc1nc(Nc3cccc(F)c3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN1CCOCC1)CC2,560.5900000000001,2.9130000000000003,0.255017225248919,150.73,4.0,9.0,8.0,4.97,28.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,8.0,3.0,1.0,0.6698032021522522,0.2555975615978241,0.8470588326454163,0.1999782986111111,0.1590600609779358,0.1628689236111111,0.0,0.019097222222222224,0.8180338541666666,0.3959490954875946,0.7825435996055603,0.1332586407661438
160,C/C=C/C=C/C(=O)O[C@H]1CCCC[C@H](O)[C@H](O)[C@@H](CCC)OC1=O,340.4160000000001,2.0382,0.4518666505789872,93.06,2.0,6.0,5.0,2.65,18.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.7702069878578186,0.18053971230983734,0.8901960849761963,0.19932725694444445,0.1244228184223175,0.0642361111111111,0.0,0.0,0.9357638888888888,0.6130378246307373,0.8176878690719604,0.07057316601276398
