condition_idx,sample_idx,MW,LogP,QED,TPSA,HBD,HBA,RB,SA,C,N,O,S,F,Cl,Br,I,ring_count,scaffold_class,fg_ester,fg_amide,fg_amine,fg_alcohol,fg_halogen
0,0,582.6980000000001,4.361700000000004,0.2955324258401119,138.37,2.0,7.0,15.0,4.09,1.0,8.0,12.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0
0,1,582.6980000000001,4.361700000000004,0.2955324258401119,138.37,2.0,7.0,15.0,4.09,45.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
0,2,582.6980000000001,4.361700000000004,0.2955324258401119,138.37,2.0,7.0,15.0,4.09,45.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0
0,3,582.6980000000001,4.361700000000004,0.2955324258401119,138.37,2.0,7.0,15.0,4.09,45.0,0.0,12.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0
0,4,582.6980000000001,4.361700000000004,0.2955324258401119,138.37,2.0,7.0,15.0,4.09,45.0,8.0,0.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0
0,5,582.6980000000001,4.361700000000004,0.2955324258401119,138.37,2.0,7.0,15.0,4.09,45.0,0.0,12.0,0.0,0.0,3.0,0.0,1.0,5.0,4.0,3.0,0.0,3.0,4.0,4.0
0,6,582.6980000000001,4.361700000000004,0.2955324258401119,138.37,2.0,7.0,15.0,4.09,45.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,4.0
0,7,582.6980000000001,4.361700000000004,0.2955324258401119,138.37,2.0,7.0,15.0,4.09,1.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,5.0,4.0,0.0,3.0,3.0,0.0,0.0
1,0,268.324,2.5387000000000004,0.7607687029441162,67.66,2.0,6.0,4.0,3.03,1.0,8.0,12.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0
1,1,268.324,2.5387000000000004,0.7607687029441162,67.66,2.0,6.0,4.0,3.03,45.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
1,2,268.324,2.5387000000000004,0.7607687029441162,67.66,2.0,6.0,4.0,3.03,45.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0
1,3,268.324,2.5387000000000004,0.7607687029441162,67.66,2.0,6.0,4.0,3.03,45.0,0.0,12.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0
1,4,268.324,2.5387000000000004,0.7607687029441162,67.66,2.0,6.0,4.0,3.03,45.0,8.0,0.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0
1,5,268.324,2.5387000000000004,0.7607687029441162,67.66,2.0,6.0,4.0,3.03,45.0,0.0,12.0,0.0,0.0,3.0,0.0,1.0,5.0,4.0,3.0,0.0,3.0,4.0,4.0
1,6,268.324,2.5387000000000004,0.7607687029441162,67.66,2.0,6.0,4.0,3.03,45.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,4.0
1,7,268.324,2.5387000000000004,0.7607687029441162,67.66,2.0,6.0,4.0,3.03,1.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,5.0,4.0,0.0,3.0,3.0,0.0,0.0
2,0,432.6080000000002,4.784600000000005,0.5105611545867884,44.730000000000004,2.0,4.0,9.0,3.48,1.0,8.0,12.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0
2,1,432.6080000000002,4.784600000000005,0.5105611545867884,44.730000000000004,2.0,4.0,9.0,3.48,45.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
2,2,432.6080000000002,4.784600000000005,0.5105611545867884,44.730000000000004,2.0,4.0,9.0,3.48,45.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0
2,3,432.6080000000002,4.784600000000005,0.5105611545867884,44.730000000000004,2.0,4.0,9.0,3.48,45.0,0.0,12.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0
2,4,432.6080000000002,4.784600000000005,0.5105611545867884,44.730000000000004,2.0,4.0,9.0,3.48,45.0,8.0,0.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0
2,5,432.6080000000002,4.784600000000005,0.5105611545867884,44.730000000000004,2.0,4.0,9.0,3.48,45.0,0.0,12.0,0.0,0.0,3.0,0.0,1.0,5.0,4.0,3.0,0.0,3.0,4.0,4.0
2,6,432.6080000000002,4.784600000000005,0.5105611545867884,44.730000000000004,2.0,4.0,9.0,3.48,45.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,4.0
2,7,432.6080000000002,4.784600000000005,0.5105611545867884,44.730000000000004,2.0,4.0,9.0,3.48,1.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,5.0,4.0,0.0,3.0,3.0,0.0,0.0
3,0,630.1600000000005,3.329300000000001,0.18815847460535753,177.2,4.0,8.0,13.0,4.33,1.0,8.0,12.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0
3,1,630.1600000000005,3.329300000000001,0.18815847460535753,177.2,4.0,8.0,13.0,4.33,45.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
3,2,630.1600000000005,3.329300000000001,0.18815847460535753,177.2,4.0,8.0,13.0,4.33,45.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0
3,3,630.1600000000005,3.329300000000001,0.18815847460535753,177.2,4.0,8.0,13.0,4.33,45.0,0.0,12.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0
3,4,630.1600000000005,3.329300000000001,0.18815847460535753,177.2,4.0,8.0,13.0,4.33,45.0,8.0,0.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0
3,5,630.1600000000005,3.329300000000001,0.18815847460535753,177.2,4.0,8.0,13.0,4.33,45.0,0.0,12.0,0.0,0.0,3.0,0.0,1.0,5.0,4.0,3.0,0.0,3.0,4.0,4.0
3,6,630.1600000000005,3.329300000000001,0.18815847460535753,177.2,4.0,8.0,13.0,4.33,45.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,4.0
3,7,630.1600000000005,3.329300000000001,0.18815847460535753,177.2,4.0,8.0,13.0,4.33,1.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,5.0,4.0,0.0,3.0,3.0,0.0,0.0
4,0,256.38599999999997,3.585300000000003,0.5063661886022872,46.53,1.0,3.0,9.0,2.23,1.0,8.0,12.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0
4,1,256.38599999999997,3.585300000000003,0.5063661886022872,46.53,1.0,3.0,9.0,2.23,45.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
4,2,256.38599999999997,3.585300000000003,0.5063661886022872,46.53,1.0,3.0,9.0,2.23,45.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0
4,3,256.38599999999997,3.585300000000003,0.5063661886022872,46.53,1.0,3.0,9.0,2.23,45.0,0.0,12.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0
4,4,256.38599999999997,3.585300000000003,0.5063661886022872,46.53,1.0,3.0,9.0,2.23,45.0,8.0,0.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0
4,5,256.38599999999997,3.585300000000003,0.5063661886022872,46.53,1.0,3.0,9.0,2.23,45.0,0.0,12.0,0.0,0.0,3.0,0.0,1.0,5.0,4.0,3.0,0.0,3.0,4.0,4.0
4,6,256.38599999999997,3.585300000000003,0.5063661886022872,46.53,1.0,3.0,9.0,2.23,45.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,4.0
4,7,256.38599999999997,3.585300000000003,0.5063661886022872,46.53,1.0,3.0,9.0,2.23,1.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,5.0,4.0,0.0,3.0,3.0,0.0,0.0
5,0,603.6690000000003,3.1834000000000024,0.3571777118480848,125.54,0.0,10.0,12.0,4.28,1.0,8.0,12.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0
5,1,603.6690000000003,3.1834000000000024,0.3571777118480848,125.54,0.0,10.0,12.0,4.28,45.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
5,2,603.6690000000003,3.1834000000000024,0.3571777118480848,125.54,0.0,10.0,12.0,4.28,45.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0
5,3,603.6690000000003,3.1834000000000024,0.3571777118480848,125.54,0.0,10.0,12.0,4.28,45.0,0.0,12.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0
5,4,603.6690000000003,3.1834000000000024,0.3571777118480848,125.54,0.0,10.0,12.0,4.28,45.0,8.0,0.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0
