instruction_id,pair_id,sample_idx,MW,LogP,QED,TPSA,HBD,HBA,RB,SA,C,N,O,S,F,Cl,Br,I,ring_count,scaffold_class,fg_ester,fg_amide,fg_amine,fg_alcohol,fg_halogen
0,59b1dacefdb3faab,0,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,18.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
0,59b1dacefdb3faab,1,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,16.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
0,59b1dacefdb3faab,2,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,16.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
0,59b1dacefdb3faab,3,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,16.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
0,59b1dacefdb3faab,4,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,16.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
0,59b1dacefdb3faab,5,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0
0,59b1dacefdb3faab,6,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,17.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
0,59b1dacefdb3faab,7,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,14.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
1,59b1dacefdb3faab,0,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,18.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
1,59b1dacefdb3faab,1,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,16.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
1,59b1dacefdb3faab,2,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,16.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
1,59b1dacefdb3faab,3,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,16.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
1,59b1dacefdb3faab,4,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,16.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
1,59b1dacefdb3faab,5,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0
1,59b1dacefdb3faab,6,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,17.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
1,59b1dacefdb3faab,7,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,14.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
2,59b1dacefdb3faab,0,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,18.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
2,59b1dacefdb3faab,1,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,16.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
2,59b1dacefdb3faab,2,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,16.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
2,59b1dacefdb3faab,3,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,16.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
2,59b1dacefdb3faab,4,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,16.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
2,59b1dacefdb3faab,5,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0
2,59b1dacefdb3faab,6,301.47900390625,-0.21580000221729279,0.28541937470436096,105.19999694824219,5.0,5.0,13.0,2.309999942779541,17.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
