instruction_id,pair_id,sample_idx,MW,LogP,QED,TPSA,HBD,HBA,RB,SA,C,N,O,S,F,Cl,Br,I,ring_count,scaffold_class,fg_ester,fg_amide,fg_amine,fg_alcohol,fg_halogen
0,59b1dacefdb3faab,0,448.58599853515625,-0.6998000144958496,0.20245370268821716,170.85000610351562,6.0,7.0,14.0,2.9800000190734863,19.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0
0,59b1dacefdb3faab,1,509.0140075683594,4.062300205230713,0.42892810702323914,97.73999786376953,1.0,6.0,6.0,3.890000104904175,27.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0
0,59b1dacefdb3faab,2,363.2229919433594,4.297399997711182,0.7274763584136963,77.81999969482422,2.0,4.0,3.0,3.2300000190734863,17.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,3.0
0,59b1dacefdb3faab,3,578.6690063476562,5.802800178527832,0.3194870352745056,119.05000305175781,3.0,4.0,6.0,5.210000038146973,34.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,2.0,4.0,0.0,0.0
0,59b1dacefdb3faab,4,561.7069702148438,5.82859992980957,0.23713819682598114,70.22000122070312,2.0,7.0,5.0,5.239999771118164,34.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,3.0,0.0,0.0
0,59b1dacefdb3faab,5,474.59698486328125,5.859799861907959,0.409221351146698,61.83000183105469,0.0,5.0,8.0,3.4000000953674316,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0
0,59b1dacefdb3faab,6,328.32000732421875,3.1914000511169434,0.7922827005386353,78.12999725341797,1.0,6.0,4.0,3.1500000953674316,18.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0
0,59b1dacefdb3faab,7,525.3410034179688,2.9937000274658203,0.37953653931617737,148.10000610351562,3.0,7.0,11.0,3.7100000381469727,23.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0
1,59b1dacefdb3faab,0,503.5740051269531,3.3752999305725098,0.4378252923488617,97.81999969482422,4.0,5.0,4.0,4.949999809265137,29.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,3.0,0.0,1.0
1,59b1dacefdb3faab,1,258.2200012207031,1.7980999946594238,0.8484100103378296,66.76000213623047,2.0,3.0,2.0,2.7200000286102295,12.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0
1,59b1dacefdb3faab,2,315.7239990234375,1.7496000528335571,0.6327119469642639,122.47000122070312,3.0,6.0,3.0,3.3299999237060547,13.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,7.0,0.0,1.0
1,59b1dacefdb3faab,3,299.1679992675781,1.2023999691009521,0.8028020262718201,58.20000076293945,2.0,2.0,5.0,2.359999895095825,12.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0
