variant_id,sample_id,condition_id,split,source_smiles,target_smiles
edit:multiproperty_edit:mpair_00000022_cond_00_5p,edit:multiproperty_edit:mpair_00000022_cond_00_5p,mpair_00000022_cond_00_5p,train,CC1CNCCN1c1c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CC3)c2c1F,CN1CCN(c2cc3c(c(Cl)c2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000022_cond_01_3p,edit:multiproperty_edit:mpair_00000022_cond_01_3p,mpair_00000022_cond_01_3p,train,CC1CNCCN1c1c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CC3)c2c1F,CN1CCN(c2cc3c(c(Cl)c2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000022_cond_02_5p,edit:multiproperty_edit:mpair_00000022_cond_02_5p,mpair_00000022_cond_02_5p,train,CC1CNCCN1c1c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CC3)c2c1F,CN1CCN(c2cc3c(c(Cl)c2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000023_cond_00_3p,edit:multiproperty_edit:mpair_00000023_cond_00_3p,mpair_00000023_cond_00_3p,train,CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CCN1,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
edit:multiproperty_edit:mpair_00000023_cond_01_2p,edit:multiproperty_edit:mpair_00000023_cond_01_2p,mpair_00000023_cond_01_2p,train,CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CCN1,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
edit:multiproperty_edit:mpair_00000023_cond_02_5p,edit:multiproperty_edit:mpair_00000023_cond_02_5p,mpair_00000023_cond_02_5p,train,CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CCN1,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
edit:multiproperty_edit:mpair_00000024_cond_00_3p,edit:multiproperty_edit:mpair_00000024_cond_00_3p,mpair_00000024_cond_00_3p,train,O=C(O)c1cn(C2CC2)c2c(C(F)(F)F)c(N3CCNCC3)c(F)cc2c1=O,CN1CCN(c2c(N)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1
edit:multiproperty_edit:mpair_00000024_cond_01_3p,edit:multiproperty_edit:mpair_00000024_cond_01_3p,mpair_00000024_cond_01_3p,train,O=C(O)c1cn(C2CC2)c2c(C(F)(F)F)c(N3CCNCC3)c(F)cc2c1=O,CN1CCN(c2c(N)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1
edit:multiproperty_edit:mpair_00000024_cond_02_4p,edit:multiproperty_edit:mpair_00000024_cond_02_4p,mpair_00000024_cond_02_4p,train,O=C(O)c1cn(C2CC2)c2c(C(F)(F)F)c(N3CCNCC3)c(F)cc2c1=O,CN1CCN(c2c(N)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1
edit:multiproperty_edit:mpair_00000025_cond_00_2p,edit:multiproperty_edit:mpair_00000025_cond_00_2p,mpair_00000025_cond_00_2p,train,O=C(O)c1cn(C2CC2)c2c(OC(F)F)c(N3CCNCC3)c(F)cc2c1=O,Cc1c(F)c(N2CCNC(C)C2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000025_cond_01_3p,edit:multiproperty_edit:mpair_00000025_cond_01_3p,mpair_00000025_cond_01_3p,train,O=C(O)c1cn(C2CC2)c2c(OC(F)F)c(N3CCNCC3)c(F)cc2c1=O,Cc1c(F)c(N2CCNC(C)C2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000025_cond_02_2p,edit:multiproperty_edit:mpair_00000025_cond_02_2p,mpair_00000025_cond_02_2p,train,O=C(O)c1cn(C2CC2)c2c(OC(F)F)c(N3CCNCC3)c(F)cc2c1=O,Cc1c(F)c(N2CCNC(C)C2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000027_cond_00_2p,edit:multiproperty_edit:mpair_00000027_cond_00_2p,mpair_00000027_cond_00_2p,train,O=C(O)c1cn(C2CC2)c2cc(N3CCN(O)CC3)c(F)cc2c1=O,CCOc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
edit:multiproperty_edit:mpair_00000027_cond_01_2p,edit:multiproperty_edit:mpair_00000027_cond_01_2p,mpair_00000027_cond_01_2p,train,O=C(O)c1cn(C2CC2)c2cc(N3CCN(O)CC3)c(F)cc2c1=O,CCOc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
