label,kind,rows,target_fingerprint_cosine,source_fingerprint_cosine,source_target_fingerprint_cosine,prior_target_fingerprint_cosine,target_fp_minus_prior,target_property_mae,prior_target_property_mae,property_mae_minus_prior,delta_mae,prior_delta_mae,delta_mae_minus_prior,latent_mae,generated_minus_prior_latent_mae,sample_steps,seed,eval_metrics
balanced005001_full_s11,full,9455,0.44355491630319904,0.4295328112915753,0.7965361322079788,0.4926104769651718,-0.04905556066197275,9.471543203898676,9.106841381344134,0.364701822554542,2.158006432888875,2.2148431163649596,-0.056836683476084726,0.26112407018966866,0.11040385862756255,20,14,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/balanced005001_full_s11/eval_latent/metrics.json
baseline_full_s11,full,9455,0.43703987873604005,0.4228221820692781,0.7965361322079788,0.49525722079201334,-0.05821734205597329,9.58148872579676,8.981107894772894,0.6003808310238661,1.9512580479573536,1.9151687514618048,0.03608929649554882,0.2604063248410545,0.13093600733720834,20,14,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/baseline_full_s11/eval_latent/metrics.json
hard002_freeze_p000_steps1,diffusion,1000,0.41951393300059897,0.4049810719182751,0.7987357662496573,0.4624892444885739,-0.042975311487974954,8.393630661845208,8.091514321446418,0.3021163403987899,2.102236069098115,2.36608785392344,-0.263851784825325,0.25656123080849647,0.0953994364887476,1,14,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_freeze_p000_steps1/eval_latent/metrics.json
hard002_freeze_p000_steps20,diffusion,1000,0.4373556872019846,0.4217475448939831,0.7987357662496573,0.4624892444885739,-0.025133557286589336,8.601721543490887,8.091514321446418,0.5102072220444693,2.03237501129508,2.36608785392344,-0.33371284262835976,0.24584718353301288,0.0777658022493124,20,14,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_freeze_p000_steps20/eval_latent/metrics.json
hard002_freeze_p000_steps5,diffusion,1000,0.4367554370942004,0.4212990799300687,0.7987357662496573,0.4624892444885739,-0.02573380739437353,8.552355670779944,8.091514321446418,0.46084134933352594,2.0292889431416987,2.36608785392344,-0.33679891078174107,0.24627146912366152,0.07715422638878226,5,14,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_freeze_p000_steps5/eval_latent/metrics.json
hard002_full_s11,full,9455,0.43375486195630947,0.42305566734920985,0.7965361322079788,0.48940685857351834,-0.055651996617208876,10.22954391479366,9.22792342490522,1.00162048988844,2.1625002875033665,2.2092917486229378,-0.04679146111957122,0.271098518726972,0.14309475434986388,20,14,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_full_s11/eval_latent/metrics.json
hard002_full_s23,full,9455,0.4259722677154536,0.41114775392071945,0.7965361322079788,0.4878925397654733,-0.06192027205001971,10.250932385214165,9.86072376476653,0.3902086204476358,2.1247666243245082,2.2328129787275803,-0.10804635440307209,0.27144373156354895,0.11063617902346416,20,26,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_full_s23/eval_latent/metrics.json
hard002_full_s37,full,9455,0.43368474498811055,0.42158803253194316,0.7965361322079788,0.4896723925320998,-0.05598764754398927,10.73190339013485,9.065571282607799,1.666332107527051,2.2654176424453967,2.190333970140869,0.07508367230452784,0.27624059930829886,0.14290756684275358,20,40,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_full_s37/eval_latent/metrics.json
hard002_joint_p025_steps20,diffusion,1000,0.4025881701537334,0.3891002170551843,0.7987357662496573,0.4110401860563027,-0.008452015902569332,8.05999078798294,7.988766986966133,0.07122380101680736,4.025721469685435,3.995028430104256,0.030693039581179526,0.2457718656286597,0.025055119049735366,20,14,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_joint_p025_steps20/eval_latent/metrics.json
hard002_joint_p050_steps20,diffusion,1000,0.3898519030311272,0.3761262140558232,0.7987357662496573,0.3938288520469057,-0.003976949015778497,7.985306826502085,7.899530482321977,0.0857763441801076,4.04029665055871,3.9965729322731494,0.04372371828556032,0.24805092081427574,0.024851896378211676,20,14,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_joint_p050_steps20/eval_latent/metrics.json
hard002_joint_p100_steps20,diffusion,1000,0.38540956723238456,0.37056075690034546,0.7987357662496573,0.3886501596562867,-0.003240592423902122,8.33280639731884,8.226319704830647,0.10648669248819331,4.395546316757798,4.3727030156254765,0.02284330113232169,0.25546712246537207,0.022772409391589463,20,14,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_joint_p100_steps20/eval_latent/metrics.json
sharedtiny_full_s11,full,9455,0.4447563374381535,0.4317444586699382,0.7965361322079788,0.4920539855769153,-0.047297648138761805,8.926389979991505,9.693655888662963,-0.7672659086714582,2.0585602115546187,2.260414462490475,-0.20185425093585652,0.2541775701452285,0.13290689418172155,20,14,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/sharedtiny_full_s11/eval_latent/metrics.json
