label,kind,output_dir,base_output_dir,config
baseline_full_s11,full,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/baseline_full_s11,,baseline_full_s11:0:0:0:0.2:0.07:11
hard002_full_s11,full,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_full_s11,,hard002_full_s11:0:0.02:0:0.2:0.07:11
hard002_full_s23,full,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_full_s23,,hard002_full_s23:0:0.02:0:0.2:0.07:23
hard002_full_s37,full,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_full_s37,,hard002_full_s37:0:0.02:0:0.2:0.07:37
balanced005001_full_s11,full,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/balanced005001_full_s11,,balanced005001_full_s11:0.05:0.01:0:0.2:0.07:11
sharedtiny_full_s11,full,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/sharedtiny_full_s11,,sharedtiny_full_s11:0.02:0.01:1:0.2:0.07:11
hard002_freeze_p000_steps1,diffusion,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_freeze_p000_steps1,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/hard002_head,hard002_freeze_p000_steps1:hard002_head:0:0:1:5:11
hard002_freeze_p000_steps5,diffusion,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_freeze_p000_steps5,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/hard002_head,hard002_freeze_p000_steps5:hard002_head:0:0:5:5:11
hard002_freeze_p000_steps20,diffusion,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_freeze_p000_steps20,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/hard002_head,hard002_freeze_p000_steps20:hard002_head:0:0:20:5:11
hard002_joint_p025_steps20,diffusion,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_joint_p025_steps20,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/hard002_head,hard002_joint_p025_steps20:hard002_head:0.25:1:20:20:11
hard002_joint_p050_steps20,diffusion,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_joint_p050_steps20,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/hard002_head,hard002_joint_p050_steps20:hard002_head:0.5:1:20:20:11
hard002_joint_p100_steps20,diffusion,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_followup_v1/hard002_joint_p100_steps20,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/hard002_head,hard002_joint_p100_steps20:hard002_head:1.0:1:20:20:11
