evaluation,method,k,raw_strict,pass_at_k,raw_validity
2p-7p,SFT,1,7.02,7.02,29.20
2p-7p,GRPO,1,8.93,8.93,33.53
2p-7p,SFT,4,7.21,22.58,28.78
2p-7p,GRPO,4,9.15,27.60,33.89
2p-7p,SFT,8,7.26,35.37,28.85
2p-7p,GRPO,8,9.28,41.72,33.86
2p-7p,SFT,20,7.30,54.88,29.04
2p-7p,GRPO,20,9.41,62.52,34.25
OOD,SFT,1,3.50,3.50,12.50
OOD,GRPO,1,3.20,3.20,12.10
OOD,SFT,4,3.25,11.70,11.97
OOD,GRPO,4,3.80,13.90,11.87
OOD,SFT,8,3.20,19.70,11.92
OOD,GRPO,8,3.77,23.60,11.63
OOD,SFT,20,3.14,35.20,11.51
OOD,GRPO,20,3.79,41.70,11.59
